"ENG18440_Disraeli" "ENG18450_Disraeli" "ENG18471_Bronte" "ENG18481_Dickens" "ENG18530_Dickens" "ENG18570_Bronte" "ENG18650_Trollope" "ENG18742_Trollope" "ENG18952_Wells" "ENG19090_Wells" "ENG19120_Wells"
"say" 0.0780104221924049 0.148766736257829 0.0996082633006328 0.144396467453539 0.191267387944359 0.0811697336965586 0.219345191004055 0.117323117442835 0.0607607242678333 0.101154607592376 0.0832270976861546
"old" 0.0655287546416201 0.0856346338963133 0.0686376268122008 0.214779271705554 0.210863325237359 0.078945905376105 0.114481436323191 0.198730994852149 0.0881030501883582 0.165460036704672 0.110969463581539
"come" 0.05741567073361 0.0825092822942581 0.159038403589246 0.147468732718508 0.16504747184809 0.0711625062545172 0.210348004951555 0.244223632227942 0.0911410864017499 0.115605265819858 0.1307854392211
"am" 0.0961088401410428 0.166893775549749 0.0828673787122912 0.180984353790896 0.235979244866416 0.107855673542003 0.152021419507761 0.0335208906979528 0.0364564345607 0.0556350341758067 0.0284028984167035
"before" 0.112959091334602 0.118138290557688 0.130578899789065 0.156685528513415 0.148487524839921 0.132317785066993 0.165672322483968 0.124506165449539 0.1458257382428 0.121385529110851 0.135409166870331
"down" 0.0411895029175898 0.0643822430023378 0.144808651689155 0.188525368532183 0.182711415323471 0.0867293044976928 0.127511843709571 0.138872261462947 0.267347186778466 0.151731911388564 0.106345735932309
"how" 0.0767622554373264 0.0887599854983686 0.186660863160009 0.149144513772127 0.150971516891146 0.116750986823817 0.140852498890864 0.102957021429427 0.130635557175842 0.153176977211312 0.156546207552529
"good" 0.102973757293974 0.148766736257829 0.0979341748417986 0.151658185352556 0.178847427688231 0.126758214265859 0.128442587094312 0.117323117442835 0.0425325069874833 0.103322206326498 0.13606969939165
"don" 0.0274596686117265 0.0568813991574052 0.151505005524492 0.116746080068819 0.184919408257894 0.0489242230499805 0.19607660638552 0.169998802825332 0.0486085794142666 0.149564312654441 0.145317154690111
"great" 0.288950603800668 0.259404182970584 0.0527337864532762 0.124007797967836 0.129995584014131 0.0344693389670317 0.0865591347809496 0.079013528073746 0.12759752096245 0.136558720249707 0.097098280633847
"made" 0.11483134146722 0.0825092822942581 0.0837044229417082 0.128197250601885 0.109571649370722 0.114527158503364 0.18056421663983 0.201125344187717 0.112407339895492 0.148841779743067 0.158527805116485
"again" 0.070521421661934 0.0668825242839819 0.11467505943014 0.16841599588875 0.149039523073526 0.0989603602601879 0.125960604735002 0.0861965760804501 0.188358245230283 0.131500989870089 0.15588567503121
"here" 0.0748900053047087 0.165018564588516 0.113838015200723 0.152496075879366 0.173051446235372 0.0567076221715684 0.105174002475777 0.203519693523285 0.133673593389233 0.117050331642606 0.0812455001221985
"see" 0.0879957562330327 0.120013501518921 0.143971607459738 0.119259751649248 0.146555531022301 0.106743759381776 0.14054225109595 0.112534418771699 0.136711629602625 0.143784049363449 0.122198516443957
"go" 0.0399413361625113 0.0912602667800128 0.146482740147989 0.120935532702867 0.11812762199161 0.072274420414744 0.20259181007871 0.162815754818628 0.0577226880544416 0.118495397465355 0.153243544945935
"might" 0.137922426436172 0.11376279831481 0.109652794053638 0.108087877958452 0.0993596820490174 0.113415244343137 0.213760730695607 0.186759248174309 0.106331267468708 0.0614152974667996 0.107666800974946
"over" 0.111086841201985 0.112512657673988 0.141460474771487 0.106412096904832 0.129167586663723 0.141213098348807 0.120686392221467 0.162815754818628 0.16405395552315 0.166182569616046 0.122198516443957
"only" 0.175991512466065 0.180645322598792 0.123882545953728 0.0921679579490674 0.109571649370722 0.135653527547673 0.119755648836726 0.117323117442835 0.139749665816017 0.117050331642606 0.135409166870331
"after" 0.135426092926015 0.094385618382068 0.139786386312653 0.120376939018327 0.116471627290793 0.11563907266359 0.128132339299398 0.141266610798515 0.115445376108883 0.144506582274823 0.138711829476924
"himself" 0.1479077604768 0.0925104074208348 0.104630528677135 0.143558576926729 0.0963236917641864 0.0489242230499805 0.201971314488882 0.256195378905782 0.0151901810669583 0.0260111848094681 0.0799244350795611
"day" 0.112335007957063 0.126264204723031 0.0878896440887937 0.134621077974092 0.124751600794877 0.110079501862456 0.11355069293845 0.124506165449539 0.1093693036821 0.102599673415124 0.129464374178463
